Time,Qom,ComX,ComY,AomX1,AomY1,AomX2,AomY2
361200,780904,0.5183392760185631,0.5006659952226308,0.6626666666666666,0.4,0.7006666666666667,0.5083333333333333
361240,472340,0.4935918674401208,0.4888617168423874,0.6773333333333333,0.48833333333333334,0.696,0.5633333333333334
361280,859543,0.5182169431895789,0.48731373532214206,0.654,0.3983333333333333,0.726,0.625
361320,562283,0.500313924957124,0.4737604729291123,0.6726666666666666,0.385,0.6986666666666667,0.5583333333333333
361360,718844,0.5172838761492989,0.48874219812179925,0.6726666666666666,0.4,0.7033333333333334,0.6066666666666667
361400,474135,0.49723632439424786,0.47389658711829613,0.67,0.40166666666666667,0.6973333333333334,0.5083333333333333
361440,824772,0.509406791210177,0.486472142200107,0.638,0.36666666666666664,0.6893333333333334,0.52
361480,551226,0.4840954357498859,0.48875437056065335,0.6813333333333333,0.505,0.696,0.5766666666666667
361520,689731,0.5144386328389859,0.48798708723642514,0.65,0.36833333333333335,0.722,0.6266666666666667
361560,503687,0.5008845466860701,0.4875701642753006,0.6686666666666666,0.43833333333333335,0.7013333333333334,0.56
361600,770761,0.5185072527886941,0.48419111112264385,0.668,0.4,0.6993333333333334,0.5583333333333333
361640,1202542,0.5376670608316937,0.4972923468230909,0.6626666666666666,0.3416666666666667,0.7173333333333334,0.5966666666666667
361680,547556,0.5058156048574637,0.4840286594734908,0.656,0.4083333333333333,0.6966666666666667,0.5616666666666666
361720,617275,0.5120441877607226,0.4855082175691548,0.676,0.3933333333333333,0.7166666666666667,0.5783333333333334
361760,495957,0.4957051935282023,0.4846848651529603,0.8733333333333333,0.395,0.886,0.48333333333333334
361800,845372,0.5177377785558706,0.486936096377295,0.6626666666666666,0.4066666666666667,0.738,0.46
361840,465050,0.5232179134860051,0.4812614844281977,0.6633333333333333,0.3983333333333333,0.716,0.5916666666666667
361880,632137,0.5169909022885861,0.48306423818465516,0.6706666666666666,0.5533333333333333,0.7033333333333334,0.6183333333333333
361920,426898,0.47621227084690015,0.47585958862929006,0.6133333333333333,0.5316666666666666,0.6333333333333333,0.5716666666666667
361960,864970,0.5211652373300036,0.4901064757544579,0.6473333333333333,0.38333333333333336,0.6686666666666666,0.62
